Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EK,Livestock Patterns,3,Albania,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.11,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,11,Austria,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.28,Fc,Calculated data
EK,Livestock Patterns,52,Azerbaijan,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,12,Bahamas,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.07,Fc,Calculated data
EK,Livestock Patterns,14,Barbados,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.29,Fc,Calculated data
EK,Livestock Patterns,57,Belarus,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.11,Fc,Calculated data
EK,Livestock Patterns,255,Belgium,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,1.19,Fc,Calculated data
EK,Livestock Patterns,23,Belize,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,53,Benin,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,18,Bhutan,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,19,Bolivia,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,80,Bosnia and Herzegovina,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.07,Fc,Calculated data
EK,Livestock Patterns,20,Botswana,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,21,Brazil,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,26,Brunei Darussalam,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,27,Bulgaria,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,233,Burkina Faso,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,29,Burundi,7213,Livestock units per agricultural land area,1034,Pigs,2010,2010,LSU/ha,0.03,Fc,Calculated data
