Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","21504","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","8468","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","4","Algeria","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","15281","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","7","Angola","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","14396","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","8","Antigua and Barbuda","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","18","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","9","Argentina","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","425303","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","1","Armenia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","6521","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","246917","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","11","Austria","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","25234","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","52","Azerbaijan","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","19179","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","12","Bahamas","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","2","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","13","Bahrain","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","206","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","31495","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","14","Barbados","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","24","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","57","Belarus","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","34053","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","255","Belgium","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","26077","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","23","Belize","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","176","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","53","Benin","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","5590","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","18","Bhutan","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1115","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","29543","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","80","Bosnia and Herzegovina","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","4288","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","20","Botswana","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","6281","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","21","Brazil","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","911500","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","104","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","3153","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","233","Burkina Faso","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","20233","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","29","Burundi","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1500","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","35","Cabo Verde","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","182","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","115","Cambodia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","14863","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","11930","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","33","Canada","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","104213","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","37","Central African Republic","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","10492","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","39","Chad","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","46257","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","40","Chile","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","31397","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","96","China, Hong Kong SAR","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1292","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","128","China, Macao SAR","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","126","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1258140","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","829","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","44","Colombia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","92304","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","45","Comoros","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","226","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","46","Congo","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","873","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","47","Cook Islands","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","48","Costa Rica","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","16115","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","4523","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","98","Croatia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","7075","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","49","Cuba","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","9779","Im","FAO data based on imputation methodology"
