eco_code,Annual crops,Permanent crops,Pasture,Urban,Extensive forestry,Intensive forestry
World average,2.88099212419344E-12,2.3129767004833E-12,1.87597287662945E-12,4.43036585855425E-12,6.07916930821874E-13,1.47821987380738E-12
AA0101,4.67075031698451E-11,3.50460601640819E-11,2.43806165503973E-11,NaN,1.43063063850092E-11,3.02713566520278E-11
AA0102,2.66406256828674E-11,2.39011880084305E-11,1.22021900790148E-11,3.80164777653392E-11,5.1586361558453E-12,1.85415704929914E-11
AA0103,4.68269396342867E-11,3.52232276149009E-11,1.89911836825203E-11,6.76995966351544E-11,1.37535301174152E-11,2.9253490775359E-11
AA0104,1.62257224084545E-11,1.36827672100873E-11,7.2696967108866E-12,2.43794925389127E-11,3.9791105572875E-12,1.16807646386395E-11
AA0105,2.32526689482085E-12,1.61371575486236E-12,1.35700800021284E-12,3.5044234257272E-12,6.99872451073068E-13,1.4745810696026E-12
AA0106,8.35660432926284E-12,6.60339331964588E-12,3.22348691302466E-12,1.24159270053097E-11,2.44856028736023E-12,5.53805576348205E-12
AA0107,1.90353411260103E-11,1.56559757867864E-11,1.08994837447873E-11,2.87096684537031E-11,4.94553142545112E-12,1.28027283626745E-11
AA0108,2.53689600083619E-11,1.88555899479218E-11,1.87085458372736E-11,3.79764835672965E-11,4.51170622686443E-12,1.56456165885883E-11
AA0109,NaN,NaN,4.7900131579591E-11,NaN,NaN,NaN
AA0110,1.45029601891862E-10,1.04702301241448E-10,8.90407935457062E-11,NaN,3.84021727138987E-11,9.44589814622583E-11
AA0111,6.55062067659886E-12,5.01578176061045E-12,2.57873447228499E-12,9.40252840253773E-12,1.95565393645477E-12,4.0424664599622E-12
AA0112,1.04113043238472E-11,7.33217426812874E-12,5.21805728107545E-12,NaN,3.35518898348532E-12,6.3018380497438E-12
AA0113,7.76033983735834E-12,6.4101288163761E-12,5.1023462706031E-12,1.07099766088597E-11,1.93233483097852E-12,5.05297841952569E-12
AA0114,NaN,NaN,1.31085849515675E-09,NaN,NaN,NaN
AA0115,2.81864577117873E-12,2.26360494301665E-12,1.12802563196911E-12,4.23825761612859E-12,8.74915642916452E-13,1.79419605904373E-12
AA0116,9.76982611395721E-12,7.37144783747886E-12,4.56229614316104E-12,1.46604497915109E-11,2.87267756931618E-12,6.67083439595342E-12
AA0117,1.29946825132341E-11,9.89293780823685E-12,7.9989599427428E-12,1.95596191136775E-11,3.35404907159511E-12,8.08718120354104E-12
AA0118,1.05370882206938E-11,8.20509535073007E-12,4.39679829526109E-12,1.59509574081762E-11,3.01526064031399E-12,7.14203783671123E-12
AA0119,8.51637029803434E-12,6.44666902384252E-12,3.94382310872621E-12,1.26138780379421E-11,2.65176823926148E-12,5.46356285362994E-12
AA0120,5.8993239123377E-12,4.71463821959942E-12,2.84973379327231E-12,8.90972503561043E-12,1.6963901114405E-12,3.74212856625662E-12
AA0121,2.73773367318203E-12,2.26597739437541E-12,1.05032034343505E-12,3.90371842410609E-12,6.78972488879972E-13,1.65452511967994E-12
AA0122,2.68396295455075E-12,2.05048299718675E-12,1.07069764355348E-12,3.78365723265912E-12,7.68663823424768E-13,1.61361364729188E-12
AA0123,3.14372889786027E-12,2.47649296778415E-12,1.34287788456344E-12,4.37941061151299E-12,7.51181742938966E-13,2.0095845744277E-12
AA0124,2.98959057342683E-12,1.77969118450133E-12,1.17683600970003E-12,4.17547990080097E-12,1.01185773736798E-12,1.67955883652704E-12
AA0125,3.41208908242263E-11,2.49454810272108E-11,2.03282074754819E-11,4.94055691943607E-11,9.11191535859052E-12,2.19969664753311E-11
AA0126,6.16944926322257E-12,5.42490154884563E-12,3.12351247641245E-12,8.94996175889423E-12,1.33532839045969E-12,4.20954998138091E-12
AA0127,1.23082938279176E-11,1.04932002349253E-11,7.30192504436313E-12,1.88405859940968E-11,2.97039216715772E-12,8.95998269968895E-12
AA0128,4.58550326268958E-12,3.88279573358019E-12,1.84443007372854E-12,6.76547308666202E-12,1.26325707793467E-12,3.13076050585293E-12
AA0201,2.90945846790054E-12,2.8322083752734E-12,1.43908108523914E-12,4.60386002042714E-12,6.65262416430681E-13,1.51757838319029E-12
AA0202,6.9365746791255E-12,7.20018249974774E-12,4.49525571870442E-12,1.18989642281699E-11,1.29843841334448E-12,3.81246183432775E-12
AA0203,6.74527382330856E-12,7.07422808622944E-12,3.51218532293263E-12,NaN,9.55526236587641E-13,3.76421896997765E-12
AA0204,2.73276402601766E-12,2.69885537942528E-12,1.5392998276793E-12,4.28045148675278E-12,5.17488624516055E-13,1.38537197563505E-12
AA0401,NaN,NaN,1.55741507889583E-10,NaN,NaN,NaN
AA0402,5.00829108943617E-12,4.85082267299267E-12,3.81856926890576E-12,9.5515924099637E-12,1.17747508442241E-12,2.5467016660149E-12
AA0403,4.21743825126101E-12,4.95074313978103E-12,4.88721287599918E-12,NaN,4.9361673570547E-13,2.08906588134957E-12
AA0404,4.53804802659714E-12,5.81326713655207E-12,5.2776070995039E-12,1.05933597675387E-11,6.76769688301444E-13,2.78840878352438E-12
